(-15.7674,0.0116258)
(-15.7673,0.0116518)
(-15.8248,-0.00647033)
(-15.8075,0.0116599)
(-15.8349,0.00807098)
(-15.812,-0.0144579)
(-15.8647,-0.00139409)
(-15.8818,0.012)
(-15.8546,-0.00612498)
(-15.9067,-0.000522287)
(-15.8973,0.000166567)
(-15.9079,-0.0127093)
(-15.9269,0.00736481)
(-15.9323,-0.00192046)
(-15.9076,0.00957879)
(-15.9292,-0.0117772)
(-15.9466,0.0124371)
(-15.9529,0.00371879)
(-15.9745,0.00606119)
(-15.964,0.00404506)
(-15.9652,0.00283515)
(-15.9687,0.000672484)
(-15.9873,-0.00108404)
(-15.9918,-0.00183283)
(-15.9817,-0.00888268)
(-16.02,0.00507488)
(-15.9777,-0.00813508)
(-16.0138,0.00332254)
(-16.0007,-0.00532622)
(-16.0106,0.00669365)
(-16.0124,0.0116233)
(-16.0322,0.0108193)
(-15.994,0.000900191)
(-16.0248,0.0286983)
(-16.0491,-0.0067205)
(-16.0464,0.00136197)
(-16.0346,-0.00356491)
(-16.0339,0.0172095)
(-16.0622,0.00364792)
(-16.0652,0.00840217)
(-16.0651,-0.00432773)
(-16.0468,0.00762687)
(-16.0639,-0.00737756)
(-16.0752,-0.00261014)
(-16.0806,0.00797745)
(-16.0761,0.00554666)
(-16.0786,-0.0102956)
(-16.0841,-0.000696253)
(-16.09,0.00254176)
(-16.075,-0.00452269)
(-16.1037,0.00806803)
(-16.0955,-0.00531381)
(-16.093,0.0021702)
(-16.0974,-0.00933219)
(-16.1187,-0.00698387)
(-16.1083,-0.00783491)
(-16.1151,0.00403942)
(-16.1048,-0.000445727)
(-16.1218,-0.0049032)
(-16.1217,0.0117955)
(-16.1204,0.0219088)
(-16.1425,-0.0040302)
(-16.1288,-0.000460455)
(-16.1488,0.0030372)
(-16.137,-0.00904975)
(-16.1412,0.0136392)
(-16.1485,-0.00709886)
(-16.1315,-0.00594912)
(-16.1462,0.011035)
(-16.1558,0.00732568)
(-16.1507,-0.000343044)
(-16.1648,0.00276973)
(-16.1704,-0.00325908)
(-16.1478,-0.00282881)
(-16.1709,0.00647998)
(-16.1679,-0.0041336)
(-16.177,-0.00937391)
(-16.1673,0.00501083)
(-16.1798,0.00954102)
(-16.1825,-0.00857341)
(-16.1778,0.000753883)
(-16.1775,0.0198472)
(-16.1741,-0.00901245)
(-16.1851,0.0134251)
(-16.1888,-0.00470442)
(-16.1853,-0.000150948)
(-16.1791,0.00810236)
(-16.1714,0.00916694)
(-16.205,-0.00748841)
(-16.2035,-0.00483475)
(-16.1917,-0.000966825)
(-16.2031,0.0101653)
(-16.2081,-0.0101405)
(-16.2015,-0.0039925)
(-16.2139,-0.000899874)
(-16.2144,-0.00513885)
(-16.2002,0.00017056)
(-16.2012,0.000746367)
(-16.2187,0.0015069)
(-16.2186,-0.00861853)
(-16.2161,-0.00339031)
(-16.2111,-0.00553393)
(-16.2325,-0.000411033)
(-16.2253,-0.00415989)
(-16.2199,0.00569044)
(-16.2245,0.00597427)
(-16.2245,-0.000584178)
(-16.2288,-0.000662878)
(-16.2155,-0.0115142)
(-16.2175,0.0170727)
(-16.2234,-0.00140585)
(-16.2305,0.00958704)
(-16.2463,-0.00165487)
(-16.2297,0.00059932)
(-16.2375,0.00726276)
(-16.2253,0.0142398)
(-16.2392,-0.00311091)
(-16.2246,-0.00060119)
(-16.2487,-0.00125108)
(-16.2328,0.00342332)
(-16.2493,0.0045553)
(-16.2419,0.00607327)
(-16.2491,-0.00120701)
(-16.2441,0.00400045)
(-16.2432,-0.00324326)
(-16.2477,0.00230161)
(-16.2521,-0.00313977)
(-16.257,0.00109935)
(-16.259,-0.00454089)
(-16.2441,-0.00607871)
(-16.2671,0.00396238)
(-16.2598,-0.00321971)
(-16.2492,-0.0087449)
(-16.2594,-0.00336256)
(-16.2649,-0.0101592)
(-16.258,0.00277927)
(-16.2502,0.000496189)
(-16.2498,0.000170193)
(-16.2467,0.00477142)
(-16.248,0.00565389)
(-16.2534,-0.00653043)
(-16.2591,-0.00189322)
(-16.2661,0.00585776)
(-16.282,0.00451173)
(-16.273,0.000340477)
(-16.2706,-0.00333554)
(-16.267,0.0108793)
(-16.2647,0.00545947)
(-16.2736,-0.00141493)
(-16.2915,-0.00638487)
(-16.2618,-0.00927911)
(-16.2817,-0.0110095)
(-16.2729,0.00183532)
(-16.2737,0.00502789)
(-16.2781,0.00522193)
(-16.2736,-0.0107086)
(-16.2833,-0.0053007)
(-16.2781,-0.00121967)
(-16.2779,-0.00734131)
(-16.2694,-0.0011306)
(-16.2825,-0.00139413)
(-16.2754,0.00887299)
(-16.2795,-0.00485707)
(-16.2732,0.00217316)
(-16.2718,0.0106439)
(-16.2871,-0.00324149)
(-16.2775,0.00417911)
(-16.276,0.00258539)
(-16.2753,0.00017138)
(-16.2824,-0.00383447)
(-16.2904,-0.00759886)
(-16.2788,-0.00228362)
(-16.2914,-0.00123133)
(-16.2974,-0.00229694)
(-16.2743,0.00374781)
(-16.2892,0.00364031)
(-16.2764,0.00783514)
(-16.2843,0.000629264)
(-16.293,-0.00186047)
(-16.2737,0.00192358)
(-16.2938,0.00607226)
(-16.2884,0.00650808)
(-16.2841,-0.00585768)
(-16.2868,-0.000544572)
(-16.2944,-0.00552489)
(-16.2889,-0.00787931)
(-16.2948,0.00882393)
(-16.3034,0.00167281)
(-16.3051,-0.00188396)
(-16.2965,0.00314845)
(-16.2834,0.00440005)
(-16.2841,-0.0084119)
(-16.2993,0.000389828)
(-16.3008,-0.00365705)
(-16.303,0.00588969)
(-16.3003,-0.000505912)
(-16.2957,-0.000382731)
(-16.2879,-0.00151616)
(-16.2954,-0.00663254)
(-16.3044,-0.00843275)
(-16.2871,0.00384156)
(-16.2975,0.00519022)
(-16.2987,0.00246418)
(-16.3004,0.00366766)
(-16.2841,0.00120402)
(-16.2947,0.0118239)
(-16.3116,-0.00100502)
(-16.3012,-0.00496912)
(-16.3029,-0.000632588)
(-16.3008,-0.00156369)
(-16.3003,-0.00589459)
(-16.2999,-0.00153079)
(-16.3018,0.000248647)
(-16.2936,0.000489871)
(-16.2982,-0.00637675)
(-16.3013,0.0017254)
(-16.3003,-0.00553252)
(-16.3105,0.000310937)
(-16.3036,0.00836829)
(-16.2968,0.0080794)
(-16.3053,-0.00340591)
(-16.3091,-0.00287254)
(-16.3103,-0.00183877)
(-16.2897,0.00440097)
(-16.3118,-0.00937023)
(-16.298,0.00426459)
(-16.3114,-0.00144847)
(-16.3111,0.000358569)
(-16.2978,-0.00561846)
(-16.313,0.00172631)
(-16.3049,-0.00502889)
(-16.3083,-0.00842058)
(-16.3106,-0.00152509)
(-16.3193,0.0116046)
(-16.3054,0.00249095)
(-16.3102,0.00409062)
(-16.3062,-0.00490954)
(-16.318,0.00238952)
(-16.3216,-0.00119403)
(-16.3122,0.00273262)
(-16.2983,5.31847e-05)
(-16.3054,-0.00251738)
(-16.304,-0.0109588)
(-16.3033,0.00520654)
(-16.3137,0.00284529)
(-16.309,0.00457456)
(-16.3139,0.00341453)
(-16.3044,0.00560893)
(-16.3101,0.00586321)
(-16.3076,0.000730112)
(-16.3196,0.00956542)
(-16.3196,-6.69957e-05)
(-16.3093,0.00364858)
(-16.302,0.00358581)
(-16.3104,-0.0063208)
(-16.3128,-0.00373404)
(-16.3155,-0.00265738)
(-16.3159,-0.00467201)
(-16.3187,0.00390099)
(-16.3073,-0.00313647)
(-16.3119,0.00539978)
(-16.3194,0.0019765)
(-16.315,0.00226718)
(-16.3332,0.000491834)
(-16.3204,-0.00526092)
(-16.3154,0.000252989)
(-16.3139,0.000330094)
(-16.3142,-0.00558105)
(-16.3144,-0.00852359)
(-16.3191,-0.00263136)
(-16.3232,0.00102925)
(-16.326,0.00710864)
(-16.3201,-0.000254083)
(-16.3127,0.00318845)
(-16.3197,-0.00222964)
(-16.3309,0.00261806)
(-16.32,-0.00630147)
(-16.3158,-0.00810605)
(-16.3238,-0.000867171)
(-16.3219,-0.000279221)
(-16.3233,-0.00417961)
(-16.32,-0.00163097)
(-16.3207,-0.00664208)
(-16.3151,-0.00372008)
(-16.3159,-0.00232727)
(-16.312,0.0083807)
(-16.3188,-0.000426782)
(-16.3249,-0.00429564)
(-16.3209,-0.00141813)
(-16.3275,-0.00114183)
(-16.3214,0.00139507)
(-16.3165,0.000324865)
(-16.3243,-0.00335117)
(-16.3196,-0.00505419)
(-16.3329,0.00162257)
(-16.3201,-0.00129246)
(-16.3228,-0.000275114)
(-16.3271,-0.00389336)
(-16.319,0.00471227)
(-16.3185,-0.00206095)
(-16.3252,0.00693491)
(-16.3199,-0.00239287)
(-16.3213,0.0082103)
(-16.3306,0.00211084)
(-16.3225,0.00136311)
(-16.3277,0.0015622)
(-16.3239,0.00705706)
(-16.3349,0.00386347)
(-16.3218,-0.00310553)
(-16.3286,0.00743478)
(-16.3265,0.010832)
(-16.3295,0.00752964)
(-16.3278,-0.00194017)
(-16.3144,-0.0017748)
(-16.3193,0.00735026)
(-16.3158,0.00404713)
(-16.3314,-0.000266873)
(-16.3147,0.00337885)
(-16.3232,-0.0047271)
(-16.3325,0.00018686)
(-16.3236,0.00563962)
(-16.3231,-0.00175001)
(-16.3272,0.00525745)
(-16.3258,-0.0016127)
(-16.3271,-0.0103593)
(-16.3352,-0.00470607)
(-16.3267,0.00227797)
(-16.3285,0.00204027)
(-16.3155,6.40902e-05)
(-16.3304,0.00255388)
(-16.3349,-0.00130022)
(-16.3257,-0.00323379)
(-16.3227,0.00548693)
(-16.3299,0.00176353)
(-16.3223,0.00261524)
(-16.3356,-0.0051314)
(-16.318,0.00224883)
(-16.3326,-8.55217e-05)
(-16.3351,0.00425178)
(-16.3222,-0.00278294)
(-16.3258,0.000847491)
(-16.3248,-0.00638548)
(-16.3194,-0.00036694)
(-16.3265,-0.00212178)
(-16.331,0.00171264)
(-16.3149,-0.00124605)
(-16.3385,0.00215027)
(-16.3255,-0.00634512)
(-16.3228,0.00114075)
(-16.3348,0.000702239)
(-16.3358,0.00420509)
(-16.3251,0.0112536)
(-16.3326,-0.00099568)
(-16.3351,-0.000937142)
(-16.3216,0.00181431)
(-16.3341,0.00302076)
(-16.3303,0.000105232)
(-16.3313,0.00250925)
(-16.3165,-0.00603634)
(-16.3137,0.00219738)
(-16.3345,-0.00414093)
(-16.3287,0.00244214)
(-16.3241,-0.000563713)
(-16.3365,5.49938e-05)
(-16.3285,-0.00129339)
(-16.3271,-0.00397445)
(-16.3338,0.000470012)
(-16.3162,0.00140535)
(-16.3216,0.00618)
(-16.332,0.00400144)
(-16.3419,-0.00647761)
(-16.3339,-0.00324689)
(-16.3354,-0.0084775)
(-16.3291,0.00658914)
(-16.3172,-0.00388964)
(-16.3347,0.0018928)
(-16.3307,-0.00140908)
(-16.3287,-0.0041441)
(-16.3152,-0.00171666)
(-16.3315,-0.00391374)
(-16.3363,-0.00591661)
(-16.3204,-0.000290866)
(-16.3265,0.0020597)
(-16.3195,-0.00637655)
(-16.3285,-0.00605329)
(-16.3375,0.00734558)
(-16.3268,-0.00581072)
(-16.3166,-0.00497691)
(-16.3362,0.00777597)
(-16.3315,0.00466869)
(-16.3268,0.0101079)
(-16.322,0.000343892)
(-16.339,0.00460115)
(-16.3377,0.00246987)
(-16.3287,-0.00136178)
(-16.3344,-0.00669013)
(-16.3373,0.00307817)
(-16.3291,0.00649295)
(-16.3289,0.00515632)
(-16.3246,-0.00449241)
(-16.3238,-0.00397012)
(-16.3271,-0.00266254)
(-16.3312,0.00091462)
(-16.3298,-0.00257199)
(-16.3333,-0.00319748)
(-16.3393,0.00501167)
(-16.3355,0.000261497)
(-16.3301,-0.000874548)
(-16.3348,0.00046404)
(-16.3314,0.00167718)
(-16.3262,-0.00252014)
(-16.3314,0.000197244)
(-16.3401,-0.00475297)
(-16.3402,-0.00148198)
(-16.3403,-0.0073655)
(-16.338,-0.00126761)
(-16.3403,-0.00104485)
(-16.3378,-0.00349428)
(-16.3388,-0.000853014)
(-16.3271,0.000491909)
(-16.3252,0.00396871)
(-16.3258,-0.00488077)
(-16.3275,-0.000553999)
(-16.3399,-0.00238689)
(-16.3335,0.000281926)
(-16.338,-0.0018166)
(-16.34,-0.00211411)
(-16.3383,0.000957084)
(-16.3347,0.00193668)
(-16.3309,-0.00386131)
(-16.3403,-0.000600967)
(-16.3417,0.00337958)
(-16.332,0.00137056)
(-16.3417,-0.000480249)
(-16.3351,-0.00783643)
(-16.3384,0.00149258)
(-16.3411,-0.00451672)
(-16.3249,-0.000693582)
(-16.3323,0.00136057)
(-16.329,0.00459878)
(-16.3312,0.000270747)
(-16.3324,-0.000199306)
(-16.3266,0.00445759)
(-16.3368,0.00089546)
(-16.3492,-0.000302579)
(-16.3358,0.00467573)
(-16.3358,-3.90418e-05)
(-16.3409,0.00124165)
(-16.3373,0.00051583)
(-16.3378,0.00048565)
(-16.3378,0.00324651)
(-16.3351,-0.00121013)
(-16.3392,-0.000194081)
(-16.3391,-0.00530181)
(-16.3347,-0.00158611)
(-16.328,-0.0022284)
(-16.3391,-0.00297407)
(-16.3338,-0.00314116)
(-16.3381,0.00346563)
(-16.3302,-0.00527572)
(-16.3305,0.00307878)
(-16.3398,-0.00187417)
(-16.3327,-0.00260151)
(-16.3312,0.000653602)
(-16.3397,0.00424621)
(-16.335,0.00785235)
(-16.3391,0.00201634)
(-16.3365,-0.000357347)
