
(-16.38564308845036,-0.06367904373980)
(-16.40537227747259,-0.00416981205702)
(-16.25363904037350,0.02348531916960)
(-16.71500492394109,0.04245786756067)
(-16.26582453089957,0.03540078576190)
(-16.31421811893335,-0.13558984189965)
(-16.11820361726283,-0.02478770347598)
(-16.12251873601634,0.03712057976009)
(-16.25385597662406,0.82487961939599)
(-16.39099674397023,0.02249342503515)
(-16.18299107293144,-0.01844788648620)
(-16.08560474873385,0.36858462932367)
(-16.10206836704289,0.07974518971614)
(-16.26280717584654,-0.14472429214624)
(-16.23547896389160,-0.02600885027289)
(-16.36058398931169,-0.01981240735158)
(-16.39782313101279,-0.09067495453977)
(-16.37742295277055,-0.04503790718481)
(-16.42247872687319,-0.00660989092067)
(-16.42106736738611,-0.02123947596456)
(-16.33725950548514,-0.03143792226881)
(-16.33509683878106,-0.00493989342030)
(-16.39094067021850,-0.02615574296599)
(-16.42601596323808,0.00274546970572)
(-16.55273401510954,-0.00292806935381)
(-16.34185558740626,0.00760390478096)
(-16.39885965623456,-0.07059750138037)
(-16.33218670022990,-0.04020609426301)
(-16.56072666685751,-0.05221283569393)
(-16.29627793681664,0.06902739936986)
(-16.46048584315659,-0.00099130464457)
(-16.27234611197886,-0.03624011061169)
(-16.51392382517904,-0.06652934284902)
(-16.33897453459101,-0.04607514480205)
(-16.27690283873703,0.04107159137232)
(-16.26316044113562,0.00579191928098)
(-16.18746184503145,0.05472594730809)
(-16.66085398371996,0.08639489467663)
(-16.21693631387858,0.03417552419278)
(-16.41503937022058,0.02122898701427)
(-16.57976751708531,-0.06894709785643)
(-16.20879129241695,-0.02824312204635)
(-16.53997612607487,-0.07111373541277)
(-16.38996618186572,0.02608457476020)
(-16.54601764799601,-0.03565713746340)
(-16.39933416483883,0.01781955756158)
(-16.44060680291834,0.03898142625209)
(-16.39657029489713,-0.05033791985088)
(-16.23508283112696,-0.10161935121765)
(-16.18343735780830,-0.03497740049754)
(-16.31953637257824,0.11894924381520)
(-16.73140855080001,1.22859565996983)
(-16.27885021419920,-0.02359441107138)
(-16.64976070999809,0.12218472462389)
(-16.28363801919976,0.07928915201400)
(-16.36047302995473,-0.04000847711076)
(-16.34506727871853,0.00804457182959)
(-16.33103469046380,0.02009071480530)
(-16.38424835117736,-0.05878739536117)
(-16.17097260114740,0.14191888802973)
(-16.51511499992646,0.12601482833964)
(-16.46650064597606,-0.00546919780352)
(-16.42895082279757,-0.01128173841889)
(-16.18713793729723,-0.02160463096656)
(-16.32998363317770,0.03120192681104)
(-16.55612065680856,-0.09762047462794)
(-16.08717200171535,-0.04093537264464)
(-16.54542927889067,0.00809154000411)
(-16.16747385531604,0.03837826889276)
(-16.18849172165768,-0.09040492233876)
(-16.48464381590917,-0.04180496617024)
(-16.31107418757377,0.03139342425492)
(-16.32207828611607,-0.01066813379119)
(-16.49702165060063,0.15038205841473)
(-16.53124751170573,-0.00729081173458)
(-17.26479924411765,0.54390904992702)
(-16.41208234037298,0.06805432738900)
(-16.32309342460874,0.06613497778618)
(-16.28187108788189,-0.01457073524488)
(-16.13032413376931,-0.01223940969745)
(-16.35307906530836,-0.10209292635640)
(-16.33487653431984,-0.00692268934961)
(-16.40321745864558,-0.01437123120210)
(-16.42344340195599,0.00853345405646)
(-16.33925325913950,-0.01464498029054)
(-16.40914704875875,0.00458778339103)
(-16.33902034663659,0.08671127309960)
(-16.38996943066701,0.08745566279161)
